id,num_orders
1028232,103
1127204,119
1212707,91
1082698,43
1400926,32
1284113,208
1197966,230
1132739,187
1057981,61
1095932,117
1454421,121
1149765,200
1166964,273
1010949,236
1409575,24
1181616,22
1456020,304
1264395,153
1472931,115
1412015,101
1461229,112
1014564,105
1485914,70
1345389,96
1006833,127
1174921,18
1175393,17
1152412,17
1497398,22
1363486,21
1366766,34
1192413,23
1319547,255
1337684,73
1479766,138
1460444,1009
1139730,472
1115056,262
1335827,117
1385333,677
1096323,714
1230693,858
1027016,124
1181520,113
1306234,222
1271440,885
1269834,411
1176823,690
1193098,100
1034878,82
1010243,105
1451807,189
1016845,120
1198021,151
1413802,62
1231223,109
1274226,626
1425142,474
1211593,199
1419190,48
1180223,42
1194932,108
1323477,158
1371595,211
1171521,187
1052384,155
1060921,115
1261811,139
1246502,232
1497466,333
1232717,57
1136112,51
1196334,357
1349533,307
1463406,312
1447686,189
1336105,106
1012855,503
1180646,377
1062490,201
1098228,1263
1101375,599
1400016,374
1439889,41
1408468,85
1044490,58
1290002,806
1190633,1043
1040430,1296
1049366,114
1224120,135
1293810,235
1197335,773
1323989,484
1129467,773
1229328,66
1164395,52
1217722,85
1171266,114
1024905,112
1343027,129
1141892,39
1302404,53
1170447,665
1140772,624
1103484,248
1387134,24
1117711,25
1472121,23
1289523,412
1091114,381
1043572,577
1103283,188
1265051,155
1168741,153
1052776,120
1206564,163
1302153,373
1083754,46
1097952,40
1251605,37
1333032,678
1086936,209
1088412,146
1236400,40
1244516,64
1380381,54
1495062,546
1439647,293
1019214,360
1316160,718
1022008,487
1138248,214
1052922,38
1181474,39
1046475,43
1216688,321
1067565,472
1008328,418
1430287,95
1406716,110
1105380,107
1248694,530
1252163,360
1443474,418
1033716,67
1300295,60
1311882,53
1257968,49
1226362,140
1030655,130
1210527,56
1278927,37
1232239,52
1133067,381
1382522,421
1219136,206
1498130,24
1251629,34
1032092,23
1249865,108
1207630,138
1144733,184
1436768,44
1148964,34
1237346,243
1206015,76
1105113,135
1430481,38
1001589,118
1224132,60
1074380,345
1097109,325
1211246,180
1390579,259
1473058,283
1186964,98
1222837,46
1342393,44
1170472,191
1170791,279
1046653,258
1195179,123
1332509,117
1438300,135
1435748,642
1052668,239
1227060,370
1342252,64
1143109,57
1394807,54
1448374,47
1028680,100
1079691,76
1402079,40
1424446,54
1133297,298
1076214,581
1173823,349
1488584,19
1072892,21
1277491,19
1290868,145
1048888,206
1138141,225
1473125,37
1196726,35
1179278,30
1282305,70
1359903,62
1355143,104
1095889,37
1250665,97
1426610,51
1390104,502
1051519,395
1337584,179
1332667,1796
1075942,1467
1109804,624
1316684,90
1248315,218
1113611,139
1110867,1018
1247289,1334
1022953,1581
1160081,97
1120430,106
1487280,277
1020081,1524
1329551,827
1137610,1410
1072530,144
1115708,168
1203532,81
1494216,341
1116374,381
1032497,166
1413930,281
1136118,111
1254872,167
1398257,1275
1364001,925
1369843,322
1379360,63
1442044,62
1285290,61
1129707,613
1086750,577
1147262,631
1025605,230
1414158,193
1082079,144
1467510,197
1374892,320
1171352,719
1213246,80
1279131,88
1256386,112
1234220,1416
1008206,430
1267686,391
1470186,122
1233312,196
1279379,127
1431703,480
1339938,273
1010552,386
1237947,762
1175098,591
1066074,236
1045918,73
1226081,45
1148633,428
1441429,597
1291804,504
1305194,87
1327840,112
